      Epoch    GPU_mem   box_loss   cls_loss   dfl_loss  Instances       Size         P         R     mAP50   mAP50-95   
     68/300      1.69G     0.6108      1.092       1.91         10        608    0.6525     0.721    0.7375    0.5308
     69/300      1.69G     0.6079        inf      1.909          0        608    0.6345    0.7285    0.7366    0.5283
     70/300      1.69G     0.6111      1.079      1.901          2        608    0.6589    0.7022    0.7294    0.5261
     71/300      1.69G      0.614      1.086       1.92         16        608    0.6479    0.7256    0.7415    0.5352
     72/300      1.69G     0.6149      1.086      1.911         13        608    0.6464    0.7213     0.738    0.5309
     73/300      1.69G     0.6093      1.072      1.911         12        608    0.6491    0.7219    0.7356    0.5317
     74/300      1.69G     0.6171      1.076      1.911          6        608    0.6368    0.7273    0.7349    0.5317
     75/300      1.69G     0.6165      1.084      1.908          3        608     0.636    0.7214    0.7286    0.5242
     76/300      1.69G     0.6096      1.077      1.898         17        608    0.6502    0.7228    0.7436    0.5386
     77/300      1.69G     0.6162      1.075      1.896         20        608    0.6428    0.7331    0.7427    0.5386
     78/300      1.69G     0.5985       1.06      1.881         12        608    0.6475    0.7189     0.733    0.5281
     79/300      1.69G     0.6033        inf      1.883          1        608    0.6315    0.7353    0.7331    0.5301
     80/300      1.69G     0.5953      1.052      1.864          7        608    0.6461    0.7311    0.7405    0.5373
     81/300      1.69G     0.6082      1.056      1.897         21        608     0.658    0.7302     0.747    0.5428
     82/300      1.69G     0.6043      1.074      1.891          2        608    0.6445    0.7188    0.7281    0.5272
     83/300      1.69G     0.5953      1.055      1.871         12        608    0.6697    0.7303      0.75    0.5456
     84/300      1.69G     0.5966      1.058      1.865         17        608    0.6674    0.7252    0.7487    0.5454
     85/300      1.69G     0.5894      1.047      1.867         12        608    0.6604    0.7284    0.7475     0.543
     86/300      1.69G     0.6022      1.053       1.88         12        608    0.6615    0.7221    0.7455    0.5441
     87/300      1.69G     0.6125      1.076      1.883         16        608    0.6544    0.7282    0.7461    0.5439
     88/300      1.69G     0.5845      1.036      1.849         10        608    0.6511    0.7166    0.7348    0.5368
     89/300      1.69G     0.5872      1.037      1.864          3        608    0.6594    0.7275    0.7431     0.541
     90/300      1.69G     0.5942       1.04      1.868          5        608     0.659    0.7225     0.748    0.5442
     91/300      1.69G     0.5849       1.03      1.844         13        608    0.6609    0.7283    0.7527    0.5465
     92/300      1.69G      0.599      1.051      1.856         30        608    0.6768    0.7233    0.7524    0.5508
     93/300      1.69G     0.5978      1.054      1.869         14        608    0.6662    0.7283    0.7521    0.5444
     94/300      1.69G     0.5981      1.054      1.866          5        608    0.6611    0.7242    0.7467    0.5417
     95/300      1.69G     0.5967      1.041       1.86          5        608    0.6492    0.7406      0.75    0.5463
     96/300      1.69G     0.5822      1.026      1.845          2        608    0.6695    0.7371    0.7582    0.5538
     97/300      1.69G      0.593       1.05      1.861          2        608    0.6633    0.7319    0.7502    0.5476
     98/300      1.69G     0.5773      1.027       1.83         10        608     0.651    0.7402    0.7498    0.5478
     99/300      1.69G     0.5863      1.016      1.833          1        608    0.6524    0.7278    0.7479    0.5452
    100/300      1.69G      0.579      1.019      1.837         23        608    0.6689    0.7095    0.7429    0.5419
    101/300      1.69G     0.5893      1.043      1.848         13        608    0.6494    0.7388    0.7445    0.5436
    102/300      1.69G     0.5814      1.037       1.85         12        608    0.6373    0.7247    0.7373    0.5382
    103/300      1.69G     0.5865      1.042      1.849          5        608    0.6763    0.7117    0.7505    0.5488
    104/300      1.69G     0.5701       1.01      1.816         18        608    0.6655    0.7421      0.76    0.5556
    105/300      1.69G     0.5791      1.022       1.84          6        608      0.67    0.7269     0.754    0.5536
    106/300      1.69G     0.5769      1.021      1.826          6        608    0.6571    0.7271    0.7492     0.548
    107/300      1.69G     0.5845       1.03      1.843         11        608    0.6692    0.7369    0.7593    0.5577
    108/300      1.69G      0.591      1.046      1.851         12        608    0.6602    0.7376    0.7541    0.5529
    109/300      1.69G     0.5718      1.014      1.813         15        608    0.6681    0.7312    0.7543    0.5535
    110/300      1.69G     0.5826      1.028      1.849          2        608    0.6624    0.7371     0.753    0.5532
    111/300      1.69G     0.5735      1.028      1.819         10        608    0.6701    0.7401    0.7564    0.5581
    112/300      1.69G      0.589       1.03      1.847          4        608    0.6776    0.7294    0.7599    0.5579
